Digital Electronic Circuits
Linear Electrical Networks
Analog Electronic Circuits
Engineering Mathematics-II
Engineering Chemistry
Engineering Mechanics
Engineering drawing II
Practical-Digital Electronic Circuits G1
Practical-Linear Electrical Networks G1
Practical-Analog Electronic Circuits G1
Practical-Engineering drawing II G1
Practical-Digital Electronic Circuits G2
Practical-Linear Electrical Networks G2
Practical-Analog Electronic Circuits G2
Practical-Engineering drawing II G2
