09/20/19,Test and Measurement-III(Code DT 501)
09/20/19,Power ElectronicsII (Code-DT-502)
09/20/19,Microprocessors(Code DT 503)
09/20/19,Product Design (Code DT 504)
09/20/19,Material Technology(Code  DT 505)
09/20/19,Costing and Management (Code  DT 506)
09/20/19,Practical-Test and Measurement-III(Code DT 501) G1
09/20/19,Practical-Power ElectronicsII (Code-DT-502) G1
09/20/19,Practical-Microprocessors(Code DT 503) G11
09/20/19,Practical-Product Design (Code DT 504) G
09/20/19,Practical-Test and Measurement-III(Code DT 501) G2
09/20/19,Practical-Power ElectronicsII (Code-DT-502) G2
09/20/19,Practical-Microprocessors(Code DT 503) G2
09/20/19,Practical-Product Design (Code DT 504) G2
