09/20/19,English(Code DT 101)
09/20/19,Mathematics-I(Code DT 102)
09/20/19,Physics-I(Code DT 103)
09/20/19,Chemistry-(Code DT 104)
09/20/19,Electrical Technology-I(Code DT 105)
09/20/19,Electrical Technology-I(Code DT 105)
09/20/19,Electrical Technology-I(Code DT 105)
09/20/19,Workshop Technology-I(Code 106)
09/20/19,Practical-Drawig-I(Mechanical) (Code DL 1P1) G1
09/20/19,Practical-Physics-I(Code DT 103) G1
09/20/19,Practical-Workshop Technology-I(Code 106) G1
09/20/19,Practical-Drawig-I(Mechanical) (Code DL 1P1) G2
09/20/19,Practical-Physics-I(Code DT 103) G2
09/20/19,Practical-Workshop Technology-I(Code 106) G2
